device_pin,physical_pad,x_mm,y_mm,pin_class,qsf_signal,source
1,U4-L25,5.5500,44.3200,USER_IO,,unassigned in QSF
2,U4-L24,5.5500,44.8200,USER_IO,PI_D[0],pistorm_epm240.qsf
3,U4-L23,5.5500,45.3200,USER_IO,PI_D[1],pistorm_epm240.qsf
4,U4-L22,5.5500,45.8200,USER_IO,PI_D[2],pistorm_epm240.qsf
5,U4-L21,5.5500,46.3200,USER_IO,PI_D[3],pistorm_epm240.qsf
6,U4-L20,5.5500,46.8200,USER_IO,PI_D[4],pistorm_epm240.qsf
7,U4-L19,5.5500,47.3200,USER_IO,PI_D[5],pistorm_epm240.qsf
8,U4-L18,5.5500,47.8200,USER_IO,PI_D[11],pistorm_epm240.qsf
9,U4-L17,5.5500,48.3200,VCCIO1,,Altera EPM240 T100 pin table
10,U4-L16,5.5500,48.8200,GNDIO,,Altera EPM240 T100 pin table
11,U4-L15,5.5500,49.3200,GNDINT,,Altera EPM240 T100 pin table
12,U4-L14,5.5500,49.8200,USER_IO,PI_CLK,pistorm_epm240.qsf
13,U4-L13,5.5500,50.3200,VCCINT,,Altera EPM240 T100 pin table
14,U4-L12,5.5500,50.8200,USER_IO,PI_D[13],pistorm_epm240.qsf
15,U4-L11,5.5500,51.3200,USER_IO,PI_D[12],pistorm_epm240.qsf
16,U4-L10,5.5500,51.8200,USER_IO,PI_D[9],pistorm_epm240.qsf
17,U4-L09,5.5500,52.3200,USER_IO,PI_D[8],pistorm_epm240.qsf
18,U4-L08,5.5500,52.8200,USER_IO,PI_D[15],pistorm_epm240.qsf
19,U4-L07,5.5500,53.3200,USER_IO,PI_D[14],pistorm_epm240.qsf
20,U4-L06,5.5500,53.8200,USER_IO,PI_D[10],pistorm_epm240.qsf
21,U4-L05,5.5500,54.3200,USER_IO,PI_D[7],pistorm_epm240.qsf
22,U4-L04,5.5500,54.8200,TMS,,Altera EPM240 T100 pin table
23,U4-L03,5.5500,55.3200,TDI,,Altera EPM240 T100 pin table
24,U4-L02,5.5500,55.8200,TCK,,Altera EPM240 T100 pin table
25,U4-L01,5.5500,56.3200,TDO,,Altera EPM240 T100 pin table
26,U4-B25,7.1000,57.8200,USER_IO,PI_D[6],pistorm_epm240.qsf
27,U4-B24,7.6000,57.8200,USER_IO,PI_A[0],pistorm_epm240.qsf
28,U4-B23,8.1000,57.8200,USER_IO,PI_A[1],pistorm_epm240.qsf
29,U4-B22,8.6000,57.8200,USER_IO,PI_WR,pistorm_epm240.qsf
30,U4-B21,9.1000,57.8200,USER_IO,PI_TXN_IN_PROGRESS,pistorm_epm240.qsf
31,U4-B20,9.6000,57.8200,VCCIO1,,Altera EPM240 T100 pin table
32,U4-B19,10.1000,57.8200,GNDIO,,Altera EPM240 T100 pin table
33,U4-B18,10.6000,57.8200,USER_IO,PI_IPL_ZERO,pistorm_epm240.qsf
34,U4-B17,11.1000,57.8200,USER_IO,PI_RESET,pistorm_epm240.qsf
35,U4-B16,11.6000,57.8200,USER_IO,PI_RD,pistorm_epm240.qsf
36,U4-B15,12.1000,57.8200,USER_IO,LTCH_D_WR_U,pistorm_epm240.qsf
37,U4-B14,12.6000,57.8200,USER_IO,,unassigned in QSF
38,U4-B13,13.1000,57.8200,USER_IO,LTCH_D_RD_OE_n,pistorm_epm240.qsf
39,U4-B12,13.6000,57.8200,USER_IO,,unassigned in QSF
40,U4-B11,14.1000,57.8200,USER_IO,LTCH_D_WR_L,pistorm_epm240.qsf
41,U4-B10,14.6000,57.8200,USER_IO,LTCH_D_WR_OE_n,pistorm_epm240.qsf
42,U4-B09,15.1000,57.8200,USER_IO,LTCH_A_8,pistorm_epm240.qsf
43,U4-B08,15.6000,57.8200,USER_IO,LTCH_A_OE_n,pistorm_epm240.qsf
44,U4-B07,16.1000,57.8200,USER_IO,LTCH_A_0,pistorm_epm240.qsf
45,U4-B06,16.6000,57.8200,VCCIO1,,Altera EPM240 T100 pin table
46,U4-B05,17.1000,57.8200,GNDIO,,Altera EPM240 T100 pin table
47,U4-B04,17.6000,57.8200,USER_IO,LTCH_A_16,pistorm_epm240.qsf
48,U4-B03,18.1000,57.8200,USER_IO,LTCH_A_24,pistorm_epm240.qsf
49,U4-B02,18.6000,57.8200,USER_IO,LTCH_D_RD_L,pistorm_epm240.qsf
50,U4-B01,19.1000,57.8200,USER_IO,LTCH_D_RD_U,pistorm_epm240.qsf
51,U4-R25,20.6500,56.3200,USER_IO,CLK_SEL,pistorm_epm240.qsf
52,U4-R24,20.6500,55.8200,USER_IO,M68K_VMA_n,pistorm_epm240.qsf
53,U4-R23,20.6500,55.3200,USER_IO,M68K_E,pistorm_epm240.qsf
54,U4-R22,20.6500,54.8200,USER_IO,M68K_VPA_n,pistorm_epm240.qsf
55,U4-R21,20.6500,54.3200,USER_IO,M68K_BERR_n,pistorm_epm240.qsf
56,U4-R20,20.6500,53.8200,USER_IO,M68K_IPL_n[0],pistorm_epm240.qsf
