physical_pad,side,side_index,x_in,y_in,x_mm,y_mm,logical_pin,logical_net,evidence
U4-T01,top,1,0.27953,1.68390,7.1000,42.7700,100,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T02,top,2,0.29921,1.68390,7.6000,42.7700,99,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T03,top,3,0.31890,1.68390,8.1000,42.7700,98,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T04,top,4,0.33858,1.68390,8.6000,42.7700,97,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T05,top,5,0.35827,1.68390,9.1000,42.7700,96,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T06,top,6,0.37795,1.68390,9.6000,42.7700,95,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T07,top,7,0.39764,1.68390,10.1000,42.7700,94,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T08,top,8,0.41732,1.68390,10.6000,42.7700,93,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T09,top,9,0.43701,1.68390,11.1000,42.7700,92,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T10,top,10,0.45669,1.68390,11.6000,42.7700,91,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T11,top,11,0.47638,1.68390,12.1000,42.7700,90,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T12,top,12,0.49606,1.68390,12.6000,42.7700,89,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T13,top,13,0.51575,1.68390,13.1000,42.7700,88,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T14,top,14,0.53543,1.68390,13.6000,42.7700,87,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T15,top,15,0.55512,1.68390,14.1000,42.7700,86,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
U4-T16,top,16,0.57480,1.68390,14.6000,42.7700,85,UNKNOWN,GTP pad center; GTO pin-1 arc establishes board orientation
